"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","249","validate, hearder text and ab testing header text","","Fri Dec 12 03:15:53 UTC 2025","passed","Fri Dec 12 03:15:53 UTC 2025","","A/B Testing","",""
"","459","validate, delete button is not visible & not exist","","Fri Dec 12 03:15:56 UTC 2025","passed","Fri Dec 12 03:15:56 UTC 2025","","Add Remove Elements","",""
"","974","validate, login successful text","","Fri Dec 12 03:15:59 UTC 2025","passed","Fri Dec 12 03:16:00 UTC 2025","","Form Authentication","",""
"","387","validate, delete button is visible & exist","","Fri Dec 12 03:15:55 UTC 2025","passed","Fri Dec 12 03:15:56 UTC 2025","","Add Remove Elements","",""
"","722","validate, add element button is visible","","Fri Dec 12 03:15:55 UTC 2025","passed","Fri Dec 12 03:15:55 UTC 2025","","Add Remove Elements","",""
