"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","952","validate, login successful text","","2026-06-22","passed","2026-06-22","","Form Authentication","",""
"","633","validate, add element button is visible","","2026-06-22","passed","2026-06-22","","Add Remove Elements","",""
"","386","validate, delete button is visible & exist","","2026-06-22","passed","2026-06-22","","Add Remove Elements","",""
"","228","validate, hearder text and ab testing header text","","2026-06-22","passed","2026-06-22","","A/B Testing","",""
"","455","validate, delete button is not visible & not exist","","2026-06-22","passed","2026-06-22","","Add Remove Elements","",""
