"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","364","validate, delete button is not visible & not exist","","Sun Feb 15 04:09:32 UTC 2026","passed","Sun Feb 15 04:09:32 UTC 2026","","Add Remove Elements","",""
"","846","validate, login successful text","","Sun Feb 15 04:09:34 UTC 2026","passed","Sun Feb 15 04:09:35 UTC 2026","","Form Authentication","",""
"","399","validate, add element button is visible","","Sun Feb 15 04:09:31 UTC 2026","passed","Sun Feb 15 04:09:31 UTC 2026","","Add Remove Elements","",""
"","193","validate, hearder text and ab testing header text","","Sun Feb 15 04:09:29 UTC 2026","passed","Sun Feb 15 04:09:30 UTC 2026","","A/B Testing","",""
"","280","validate, delete button is visible & exist","","Sun Feb 15 04:09:31 UTC 2026","passed","Sun Feb 15 04:09:32 UTC 2026","","Add Remove Elements","",""
