"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","498","validate, delete button is not visible & not exist","","2026-07-28","passed","2026-07-28","","Add Remove Elements","",""
"","277","validate, hearder text and ab testing header text","","2026-07-28","passed","2026-07-28","","A/B Testing","",""
"","977","validate, login successful text","","2026-07-28","passed","2026-07-28","","Form Authentication","",""
"","434","validate, delete button is visible & exist","","2026-07-28","passed","2026-07-28","","Add Remove Elements","",""
"","989","validate, add element button is visible","","2026-07-28","passed","2026-07-28","","Add Remove Elements","",""
