"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","980","validate, login successful text","","Tue Apr 28 05:18:53 UTC 2026","passed","Tue Apr 28 05:18:53 UTC 2026","","Form Authentication","",""
"","478","validate, delete button is visible & exist","","Tue Apr 28 05:18:48 UTC 2026","passed","Tue Apr 28 05:18:49 UTC 2026","","Add Remove Elements","",""
"","1351","validate, delete button is not visible & not exist","","Tue Apr 28 05:18:49 UTC 2026","passed","Tue Apr 28 05:18:50 UTC 2026","","Add Remove Elements","",""
"","825","validate, add element button is visible","","Tue Apr 28 05:18:47 UTC 2026","passed","Tue Apr 28 05:18:48 UTC 2026","","Add Remove Elements","",""
"","274","validate, hearder text and ab testing header text","","Tue Apr 28 05:18:46 UTC 2026","passed","Tue Apr 28 05:18:46 UTC 2026","","A/B Testing","",""
