"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","838","validate, login successful text","","Sun Dec 07 03:18:44 UTC 2025","passed","Sun Dec 07 03:18:45 UTC 2025","","Form Authentication","",""
"","376","validate, add element button is visible","","Sun Dec 07 03:18:42 UTC 2025","passed","Sun Dec 07 03:18:42 UTC 2025","","Add Remove Elements","",""
"","271","validate, delete button is visible & exist","","Sun Dec 07 03:18:42 UTC 2025","passed","Sun Dec 07 03:18:42 UTC 2025","","Add Remove Elements","",""
"","347","validate, delete button is not visible & not exist","","Sun Dec 07 03:18:42 UTC 2025","passed","Sun Dec 07 03:18:43 UTC 2025","","Add Remove Elements","",""
"","235","validate, hearder text and ab testing header text","","Sun Dec 07 03:18:40 UTC 2025","passed","Sun Dec 07 03:18:40 UTC 2025","","A/B Testing","",""
