"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","289","validate, delete button is visible & exist","","Wed Mar 11 03:57:28 UTC 2026","passed","Wed Mar 11 03:57:29 UTC 2026","","Add Remove Elements","",""
"","887","validate, login successful text","","Wed Mar 11 03:57:31 UTC 2026","passed","Wed Mar 11 03:57:32 UTC 2026","","Form Authentication","",""
"","407","validate, add element button is visible","","Wed Mar 11 03:57:28 UTC 2026","passed","Wed Mar 11 03:57:28 UTC 2026","","Add Remove Elements","",""
"","246","validate, hearder text and ab testing header text","","Wed Mar 11 03:57:26 UTC 2026","passed","Wed Mar 11 03:57:27 UTC 2026","","A/B Testing","",""
"","359","validate, delete button is not visible & not exist","","Wed Mar 11 03:57:29 UTC 2026","passed","Wed Mar 11 03:57:29 UTC 2026","","Add Remove Elements","",""
