"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","209","validate, hearder text and ab testing header text","","Fri Oct 31 03:04:07 UTC 2025","passed","Fri Oct 31 03:04:07 UTC 2025","","A/B Testing","",""
"","277","validate, delete button is visible & exist","","Fri Oct 31 03:04:09 UTC 2025","passed","Fri Oct 31 03:04:10 UTC 2025","","Add Remove Elements","",""
"","355","validate, delete button is not visible & not exist","","Fri Oct 31 03:04:10 UTC 2025","passed","Fri Oct 31 03:04:10 UTC 2025","","Add Remove Elements","",""
"","435","validate, add element button is visible","","Fri Oct 31 03:04:09 UTC 2025","passed","Fri Oct 31 03:04:09 UTC 2025","","Add Remove Elements","",""
"","830","validate, login successful text","","Fri Oct 31 03:04:12 UTC 2025","passed","Fri Oct 31 03:04:13 UTC 2025","","Form Authentication","",""
