"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","474","validate, add element button is visible","","Tue Apr 14 04:34:43 UTC 2026","passed","Tue Apr 14 04:34:44 UTC 2026","","Add Remove Elements","",""
"","899","validate, login successful text","","Tue Apr 14 04:34:47 UTC 2026","passed","Tue Apr 14 04:34:47 UTC 2026","","Form Authentication","",""
"","391","validate, delete button is not visible & not exist","","Tue Apr 14 04:34:44 UTC 2026","passed","Tue Apr 14 04:34:45 UTC 2026","","Add Remove Elements","",""
"","333","validate, delete button is visible & exist","","Tue Apr 14 04:34:44 UTC 2026","passed","Tue Apr 14 04:34:44 UTC 2026","","Add Remove Elements","",""
"","236","validate, hearder text and ab testing header text","","Tue Apr 14 04:34:42 UTC 2026","passed","Tue Apr 14 04:34:42 UTC 2026","","A/B Testing","",""
