"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","333","validate, delete button is visible & exist","","2026-08-09","passed","2026-08-09","","Add Remove Elements","",""
"","897","validate, login successful text","","2026-08-09","passed","2026-08-09","","Form Authentication","",""
"","499","validate, add element button is visible","","2026-08-09","passed","2026-08-09","","Add Remove Elements","",""
"","413","validate, delete button is not visible & not exist","","2026-08-09","passed","2026-08-09","","Add Remove Elements","",""
"","231","validate, hearder text and ab testing header text","","2026-08-09","passed","2026-08-09","","A/B Testing","",""
