"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","298","validate, delete button is visible & exist","","Sat Jan 17 03:14:59 UTC 2026","passed","Sat Jan 17 03:14:59 UTC 2026","","Add Remove Elements","",""
"","382","validate, delete button is not visible & not exist","","Sat Jan 17 03:14:59 UTC 2026","passed","Sat Jan 17 03:15:00 UTC 2026","","Add Remove Elements","",""
"","910","validate, login successful text","","Sat Jan 17 03:15:02 UTC 2026","passed","Sat Jan 17 03:15:03 UTC 2026","","Form Authentication","",""
"","423","validate, add element button is visible","","Sat Jan 17 03:14:59 UTC 2026","passed","Sat Jan 17 03:14:59 UTC 2026","","Add Remove Elements","",""
"","222","validate, hearder text and ab testing header text","","Sat Jan 17 03:14:57 UTC 2026","passed","Sat Jan 17 03:14:57 UTC 2026","","A/B Testing","",""
