"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","230","validate, hearder text and ab testing header text","","Mon Apr 13 04:47:05 UTC 2026","passed","Mon Apr 13 04:47:05 UTC 2026","","A/B Testing","",""
"","886","validate, login successful text","","Mon Apr 13 04:47:10 UTC 2026","passed","Mon Apr 13 04:47:11 UTC 2026","","Form Authentication","",""
"","426","validate, delete button is not visible & not exist","","Mon Apr 13 04:47:08 UTC 2026","passed","Mon Apr 13 04:47:08 UTC 2026","","Add Remove Elements","",""
"","349","validate, delete button is visible & exist","","Mon Apr 13 04:47:07 UTC 2026","passed","Mon Apr 13 04:47:08 UTC 2026","","Add Remove Elements","",""
"","569","validate, add element button is visible","","Mon Apr 13 04:47:07 UTC 2026","passed","Mon Apr 13 04:47:07 UTC 2026","","Add Remove Elements","",""
