"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","898","validate, login successful text","","Tue Nov 25 03:07:40 UTC 2025","passed","Tue Nov 25 03:07:41 UTC 2025","","Form Authentication","",""
"","350","validate, delete button is visible & exist","","Tue Nov 25 03:07:37 UTC 2025","passed","Tue Nov 25 03:07:38 UTC 2025","","Add Remove Elements","",""
"","230","validate, hearder text and ab testing header text","","Tue Nov 25 03:07:35 UTC 2025","passed","Tue Nov 25 03:07:36 UTC 2025","","A/B Testing","",""
"","556","validate, add element button is visible","","Tue Nov 25 03:07:37 UTC 2025","passed","Tue Nov 25 03:07:37 UTC 2025","","Add Remove Elements","",""
"","427","validate, delete button is not visible & not exist","","Tue Nov 25 03:07:38 UTC 2025","passed","Tue Nov 25 03:07:38 UTC 2025","","Add Remove Elements","",""
