"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","912","validate, login successful text","","Thu Oct 16 02:57:28 UTC 2025","passed","Thu Oct 16 02:57:29 UTC 2025","","Form Authentication","",""
"","454","validate, add element button is visible","","Thu Oct 16 02:57:25 UTC 2025","passed","Thu Oct 16 02:57:25 UTC 2025","","Add Remove Elements","",""
"","315","validate, delete button is visible & exist","","Thu Oct 16 02:57:25 UTC 2025","passed","Thu Oct 16 02:57:25 UTC 2025","","Add Remove Elements","",""
"","226","validate, hearder text and ab testing header text","","Thu Oct 16 02:57:23 UTC 2025","passed","Thu Oct 16 02:57:23 UTC 2025","","A/B Testing","",""
"","391","validate, delete button is not visible & not exist","","Thu Oct 16 02:57:25 UTC 2025","passed","Thu Oct 16 02:57:26 UTC 2025","","Add Remove Elements","",""
