"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","868","validate, login successful text","","Thu Jan 08 03:21:22 UTC 2026","passed","Thu Jan 08 03:21:23 UTC 2026","","Form Authentication","",""
"","221","validate, hearder text and ab testing header text","","Thu Jan 08 03:21:17 UTC 2026","passed","Thu Jan 08 03:21:17 UTC 2026","","A/B Testing","",""
"","306","validate, delete button is visible & exist","","Thu Jan 08 03:21:19 UTC 2026","passed","Thu Jan 08 03:21:19 UTC 2026","","Add Remove Elements","",""
"","382","validate, delete button is not visible & not exist","","Thu Jan 08 03:21:19 UTC 2026","passed","Thu Jan 08 03:21:20 UTC 2026","","Add Remove Elements","",""
"","474","validate, add element button is visible","","Thu Jan 08 03:21:19 UTC 2026","passed","Thu Jan 08 03:21:19 UTC 2026","","Add Remove Elements","",""
