"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","243","validate, hearder text and ab testing header text","","2026-06-15","passed","2026-06-15","","A/B Testing","",""
"","954","validate, login successful text","","2026-06-15","passed","2026-06-15","","Form Authentication","",""
"","436","validate, delete button is not visible & not exist","","2026-06-15","passed","2026-06-15","","Add Remove Elements","",""
"","684","validate, add element button is visible","","2026-06-15","passed","2026-06-15","","Add Remove Elements","",""
"","372","validate, delete button is visible & exist","","2026-06-15","passed","2026-06-15","","Add Remove Elements","",""
