"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","577","validate, add element button is visible","","Fri Nov 07 03:03:46 UTC 2025","passed","Fri Nov 07 03:03:46 UTC 2025","","Add Remove Elements","",""
"","229","validate, hearder text and ab testing header text","","Fri Nov 07 03:03:44 UTC 2025","passed","Fri Nov 07 03:03:44 UTC 2025","","A/B Testing","",""
"","425","validate, delete button is not visible & not exist","","Fri Nov 07 03:03:47 UTC 2025","passed","Fri Nov 07 03:03:47 UTC 2025","","Add Remove Elements","",""
"","361","validate, delete button is visible & exist","","Fri Nov 07 03:03:46 UTC 2025","passed","Fri Nov 07 03:03:47 UTC 2025","","Add Remove Elements","",""
"","898","validate, login successful text","","Fri Nov 07 03:03:49 UTC 2025","passed","Fri Nov 07 03:03:50 UTC 2025","","Form Authentication","",""
