"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","491","validate, delete button is not visible & not exist","","2026-08-14","passed","2026-08-14","","Add Remove Elements","",""
"","429","validate, delete button is visible & exist","","2026-08-14","passed","2026-08-14","","Add Remove Elements","",""
"","979","validate, login successful text","","2026-08-14","passed","2026-08-14","","Form Authentication","",""
"","905","validate, add element button is visible","","2026-08-14","passed","2026-08-14","","Add Remove Elements","",""
"","278","validate, hearder text and ab testing header text","","2026-08-14","passed","2026-08-14","","A/B Testing","",""
