"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","956","validate, login successful text","","Sat Oct 11 02:45:24 UTC 2025","passed","Sat Oct 11 02:45:25 UTC 2025","","Form Authentication","",""
"","481","validate, delete button is not visible & not exist","","Sat Oct 11 02:45:21 UTC 2025","passed","Sat Oct 11 02:45:22 UTC 2025","","Add Remove Elements","",""
"","256","validate, hearder text and ab testing header text","","Sat Oct 11 02:45:18 UTC 2025","passed","Sat Oct 11 02:45:19 UTC 2025","","A/B Testing","",""
"","809","validate, add element button is visible","","Sat Oct 11 02:45:20 UTC 2025","passed","Sat Oct 11 02:45:21 UTC 2025","","Add Remove Elements","",""
"","410","validate, delete button is visible & exist","","Sat Oct 11 02:45:21 UTC 2025","passed","Sat Oct 11 02:45:21 UTC 2025","","Add Remove Elements","",""
