"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1026","validate, login successful text","","2026-07-26","passed","2026-07-26","","Form Authentication","",""
"","295","validate, hearder text and ab testing header text","","2026-07-26","passed","2026-07-26","","A/B Testing","",""
"","912","validate, add element button is visible","","2026-07-26","passed","2026-07-26","","Add Remove Elements","",""
"","447","validate, delete button is visible & exist","","2026-07-26","passed","2026-07-26","","Add Remove Elements","",""
"","511","validate, delete button is not visible & not exist","","2026-07-26","passed","2026-07-26","","Add Remove Elements","",""
