"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","452","validate, add element button is visible","","Sun Jan 04 03:31:10 UTC 2026","passed","Sun Jan 04 03:31:10 UTC 2026","","Add Remove Elements","",""
"","383","validate, delete button is not visible & not exist","","Sun Jan 04 03:31:10 UTC 2026","passed","Sun Jan 04 03:31:11 UTC 2026","","Add Remove Elements","",""
"","871","validate, login successful text","","Sun Jan 04 03:31:13 UTC 2026","passed","Sun Jan 04 03:31:13 UTC 2026","","Form Authentication","",""
"","214","validate, hearder text and ab testing header text","","Sun Jan 04 03:31:08 UTC 2026","passed","Sun Jan 04 03:31:08 UTC 2026","","A/B Testing","",""
"","299","validate, delete button is visible & exist","","Sun Jan 04 03:31:10 UTC 2026","passed","Sun Jan 04 03:31:10 UTC 2026","","Add Remove Elements","",""
