"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","437","validate, delete button is visible & exist","","Tue May 05 04:50:36 UTC 2026","passed","Tue May 05 04:50:36 UTC 2026","","Add Remove Elements","",""
"","963","validate, login successful text","","Tue May 05 04:50:39 UTC 2026","passed","Tue May 05 04:50:40 UTC 2026","","Form Authentication","",""
"","510","validate, delete button is not visible & not exist","","Tue May 05 04:50:36 UTC 2026","passed","Tue May 05 04:50:37 UTC 2026","","Add Remove Elements","",""
"","293","validate, hearder text and ab testing header text","","Tue May 05 04:50:33 UTC 2026","passed","Tue May 05 04:50:33 UTC 2026","","A/B Testing","",""
"","920","validate, add element button is visible","","Tue May 05 04:50:35 UTC 2026","passed","Tue May 05 04:50:36 UTC 2026","","Add Remove Elements","",""
