"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","925","validate, login successful text","","Mon Oct 13 03:03:09 UTC 2025","passed","Mon Oct 13 03:03:10 UTC 2025","","Form Authentication","",""
"","400","validate, delete button is visible & exist","","Mon Oct 13 03:03:06 UTC 2025","passed","Mon Oct 13 03:03:07 UTC 2025","","Add Remove Elements","",""
"","237","validate, hearder text and ab testing header text","","Mon Oct 13 03:03:04 UTC 2025","passed","Mon Oct 13 03:03:04 UTC 2025","","A/B Testing","",""
"","700","validate, add element button is visible","","Mon Oct 13 03:03:06 UTC 2025","passed","Mon Oct 13 03:03:06 UTC 2025","","Add Remove Elements","",""
"","467","validate, delete button is not visible & not exist","","Mon Oct 13 03:03:07 UTC 2025","passed","Mon Oct 13 03:03:07 UTC 2025","","Add Remove Elements","",""
