"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","911","validate, login successful text","","2026-08-16","passed","2026-08-16","","Form Authentication","",""
"","739","validate, add element button is visible","","2026-08-16","passed","2026-08-16","","Add Remove Elements","",""
"","381","validate, delete button is visible & exist","","2026-08-16","passed","2026-08-16","","Add Remove Elements","",""
"","248","validate, hearder text and ab testing header text","","2026-08-16","passed","2026-08-16","","A/B Testing","",""
"","448","validate, delete button is not visible & not exist","","2026-08-16","passed","2026-08-16","","Add Remove Elements","",""
