"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","280","validate, delete button is visible & exist","","Sun Nov 09 03:06:02 UTC 2025","passed","Sun Nov 09 03:06:02 UTC 2025","","Add Remove Elements","",""
"","394","validate, add element button is visible","","Sun Nov 09 03:06:01 UTC 2025","passed","Sun Nov 09 03:06:01 UTC 2025","","Add Remove Elements","",""
"","224","validate, hearder text and ab testing header text","","Sun Nov 09 03:05:59 UTC 2025","passed","Sun Nov 09 03:06:00 UTC 2025","","A/B Testing","",""
"","350","validate, delete button is not visible & not exist","","Sun Nov 09 03:06:02 UTC 2025","passed","Sun Nov 09 03:06:02 UTC 2025","","Add Remove Elements","",""
"","823","validate, login successful text","","Sun Nov 09 03:06:04 UTC 2025","passed","Sun Nov 09 03:06:05 UTC 2025","","Form Authentication","",""
