"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","872","validate, login successful text","","Mon Feb 09 04:13:39 UTC 2026","passed","Mon Feb 09 04:13:40 UTC 2026","","Form Authentication","",""
"","391","validate, add element button is visible","","Mon Feb 09 04:13:36 UTC 2026","passed","Mon Feb 09 04:13:37 UTC 2026","","Add Remove Elements","",""
"","246","validate, hearder text and ab testing header text","","Mon Feb 09 04:13:35 UTC 2026","passed","Mon Feb 09 04:13:35 UTC 2026","","A/B Testing","",""
"","275","validate, delete button is visible & exist","","Mon Feb 09 04:13:37 UTC 2026","passed","Mon Feb 09 04:13:37 UTC 2026","","Add Remove Elements","",""
"","351","validate, delete button is not visible & not exist","","Mon Feb 09 04:13:37 UTC 2026","passed","Mon Feb 09 04:13:37 UTC 2026","","Add Remove Elements","",""
