"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","446","validate, delete button is not visible & not exist","","Thu Feb 19 04:07:17 UTC 2026","passed","Thu Feb 19 04:07:17 UTC 2026","","Add Remove Elements","",""
"","652","validate, add element button is visible","","Thu Feb 19 04:07:16 UTC 2026","passed","Thu Feb 19 04:07:17 UTC 2026","","Add Remove Elements","",""
"","254","validate, hearder text and ab testing header text","","Thu Feb 19 04:07:14 UTC 2026","passed","Thu Feb 19 04:07:14 UTC 2026","","A/B Testing","",""
"","379","validate, delete button is visible & exist","","Thu Feb 19 04:07:17 UTC 2026","passed","Thu Feb 19 04:07:17 UTC 2026","","Add Remove Elements","",""
"","978","validate, login successful text","","Thu Feb 19 04:07:20 UTC 2026","passed","Thu Feb 19 04:07:21 UTC 2026","","Form Authentication","",""
