"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","880","validate, login successful text","","Fri Mar 27 04:22:55 UTC 2026","passed","Fri Mar 27 04:22:55 UTC 2026","","Form Authentication","",""
"","348","validate, delete button is visible & exist","","Fri Mar 27 04:22:52 UTC 2026","passed","Fri Mar 27 04:22:52 UTC 2026","","Add Remove Elements","",""
"","232","validate, hearder text and ab testing header text","","Fri Mar 27 04:22:50 UTC 2026","passed","Fri Mar 27 04:22:50 UTC 2026","","A/B Testing","",""
"","547","validate, add element button is visible","","Fri Mar 27 04:22:51 UTC 2026","passed","Fri Mar 27 04:22:52 UTC 2026","","Add Remove Elements","",""
"","427","validate, delete button is not visible & not exist","","Fri Mar 27 04:22:52 UTC 2026","passed","Fri Mar 27 04:22:53 UTC 2026","","Add Remove Elements","",""
