"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","973","validate, login successful text","","2026-07-30","passed","2026-07-30","","Form Authentication","",""
"","887","validate, add element button is visible","","2026-07-30","passed","2026-07-30","","Add Remove Elements","",""
"","269","validate, hearder text and ab testing header text","","2026-07-30","passed","2026-07-30","","A/B Testing","",""
"","490","validate, delete button is not visible & not exist","","2026-07-30","passed","2026-07-30","","Add Remove Elements","",""
"","432","validate, delete button is visible & exist","","2026-07-30","passed","2026-07-30","","Add Remove Elements","",""
