"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","953","validate, login successful text","","Sun May 17 05:37:08 UTC 2026","passed","Sun May 17 05:37:09 UTC 2026","","Form Authentication","",""
"","593","validate, add element button is visible","","Sun May 17 05:37:05 UTC 2026","passed","Sun May 17 05:37:05 UTC 2026","","Add Remove Elements","",""
"","442","validate, delete button is not visible & not exist","","Sun May 17 05:37:06 UTC 2026","passed","Sun May 17 05:37:06 UTC 2026","","Add Remove Elements","",""
"","367","validate, delete button is visible & exist","","Sun May 17 05:37:05 UTC 2026","passed","Sun May 17 05:37:06 UTC 2026","","Add Remove Elements","",""
"","255","validate, hearder text and ab testing header text","","Sun May 17 05:37:03 UTC 2026","passed","Sun May 17 05:37:03 UTC 2026","","A/B Testing","",""
