"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","235","validate, hearder text and ab testing header text","","Fri Dec 05 03:11:41 UTC 2025","passed","Fri Dec 05 03:11:41 UTC 2025","","A/B Testing","",""
"","918","validate, login successful text","","Fri Dec 05 03:11:46 UTC 2025","passed","Fri Dec 05 03:11:47 UTC 2025","","Form Authentication","",""
"","347","validate, delete button is visible & exist","","Fri Dec 05 03:11:43 UTC 2025","passed","Fri Dec 05 03:11:44 UTC 2025","","Add Remove Elements","",""
"","560","validate, add element button is visible","","Fri Dec 05 03:11:43 UTC 2025","passed","Fri Dec 05 03:11:43 UTC 2025","","Add Remove Elements","",""
"","420","validate, delete button is not visible & not exist","","Fri Dec 05 03:11:44 UTC 2025","passed","Fri Dec 05 03:11:44 UTC 2025","","Add Remove Elements","",""
